eventId	personId	total	personName	"GROUP_CONCAT(CONCAT(score,' (',competitionId,')') SEPARATOR ' + ')"
222	2008COUR01	149	"François Courtès"	"30 (GaleriesLafayetteOpen2011) + 18 (NeptuneOpen2011) + 25 (MontpellierOpen2011) + 17 (LyonOpen2011) + 23 (VesoulOpen2011) + 15 (BreizhOpen2011) + 21 (CachanOpen2011)"
222	2009PETI01	129	"Loïc Petit"	"27 (VesoulOpen2011) + 23 (MontpellierOpen2011) + 22 (LyonOpen2011) + 37 (GaleriesLafayetteOpen2011) + 20 (NeptuneOpen2011)"
222	2009STIE02	127	"Olivier Stietel"	"19 (CachanOpen2011) + 34 (GaleriesLafayetteOpen2011) + 15 (NeptuneOpen2011) + 31 (MontpellierOpen2011) + 5 (DinsOpen2011) + 20 (BreizhOpen2011) + 3 (DolmenOpen2011)"
222	2008VIRO01	124	"Philippe Virouleau"	"18 (DolmenOpen2011) + 30 (MontpellierOpen2011) + 17 (BlindOpen2011) + 24 (LyonOpen2011) + 13 (NaonedOpen2011) + 22 (NeptuneOpen2011)"
222	2004GALL02	110	"Clément Gallet"	"21 (GaleriesLafayetteOpen2011) + 16 (CachanOpen2011) + 17 (BreizhOpen2011) + 12 (FrenchOpen2011) + 17 (VesoulOpen2011) + 11 (BlindOpen2011) + 16 (MontpellierOpen2011)"
222	2010ESTU01	109	"Rémi Esturoune"	"19 (FrenchOpen2011) + 40 (GaleriesLafayetteOpen2011) + 27 (CachanOpen2011) + 23 (LyonOpen2011)"
222	2010BOUV01	104	"Pierre Bouvier"	"18 (MontpellierOpen2011) + 32 (GaleriesLafayetteOpen2011) + 13 (NeptuneOpen2011) + 21 (LyonOpen2011) + 20 (VesoulOpen2011)"
222	2008HANK01	94	"Kanneti Sae Han (คันธ์เนตี แซ่ห่าน)"	"16 (FrenchOpen2011) + 25 (MontpellierOpen2011) + 13 (DinsOpen2011) + 21 (BreizhOpen2011) + 19 (NeptuneOpen2011)"
222	2010OLIV01	90	"Auguste Olivry"	"22 (MontpellierOpen2011) + 15 (FrenchOpen2011) + 27 (LyonOpen2011) + 26 (CachanOpen2011)"
222	2010DESJ01	86	"Jules Desjardin"	"35 (GaleriesLafayetteOpen2011) + 8 (NeptuneOpen2011) + 18 (FrenchOpen2011) + 14 (BlindOpen2011) + 11 (NaonedOpen2011)"
222	2008PIAU01	84	"Antoine Piau"	"16 (BlindOpen2011) + 15 (DinsOpen2011) + 22 (BreizhOpen2011) + 12 (NaonedOpen2011) + 19 (DolmenOpen2011)"
222	2009GUIL01	83	"Kevin Guillaumond"	"32 (MontpellierOpen2011) + 28 (LyonOpen2011) + 23 (NeptuneOpen2011)"
222	2007DUSS01	76	"Gaël Dusser"	"8 (BlindOpen2011) + 13 (MontpellierOpen2011) + 13 (FrenchOpen2011) + 16 (BreizhOpen2011) + 11 (DinsOpen2011) + 15 (DolmenOpen2011)"
222	2007LEMO01	75	"Laetitia Lemoine"	"17 (MontpellierOpen2011) + 16 (LyonOpen2011) + 24 (VesoulOpen2011) + 18 (GaleriesLafayetteOpen2011)"
222	2010KADD01	69	"Abdelhak Kaddour"	"14 (LyonOpen2011) + 33 (GaleriesLafayetteOpen2011) + 22 (VesoulOpen2011)"
222	2004CHAM01	67	"Edouard Chambon"	"41 (GaleriesLafayetteOpen2011) + 26 (LyonOpen2011)"
222	2008CABA03	64	"Jakub Cabaj"	"39 (GaleriesLafayetteOpen2011) + 25 (LyonOpen2011)"
222	2009DOUS03	59	"Valentin Doussin"	"12 (BreizhOpen2011) + 14 (DinsOpen2011) + 8 (NaonedOpen2011) + 13 (BlindOpen2011) + 12 (DolmenOpen2011)"
222	2008SECH01	58	"Amaury Sechet"	"7 (BlindOpen2011) + 27 (GaleriesLafayetteOpen2011) + 24 (CachanOpen2011)"
222	2008MORE02	55	"Hippolyte Moreau"	"18 (BreizhOpen2011) + 8 (DinsOpen2011) + 10 (NaonedOpen2011) + 10 (DolmenOpen2011) + 9 (BlindOpen2011)"
222	2010CAUD01	55	"Raphaël Cauderlier"	"15 (CachanOpen2011) + 10 (NeptuneOpen2011) + 10 (BreizhOpen2011) + 20 (GaleriesLafayetteOpen2011)"
222	2010GAUT01	52	"Yoann Gauthier"	"29 (GaleriesLafayetteOpen2011) + 23 (CachanOpen2011)"
222	2009LEFE01	50	"Quentin Lefebvre"	"25 (CachanOpen2011) + 16 (NeptuneOpen2011) + 9 (GaleriesLafayetteOpen2011)"
222	2008LEME01	49	"Pierre Lemerle"	"22 (GaleriesLafayetteOpen2011) + 21 (VesoulOpen2011) + 6 (DolmenOpen2011)"
222	2007WATI01	48	"Thomas Watiotienne"	"12 (MontpellierOpen2011) + 36 (GaleriesLafayetteOpen2011)"
222	2010KOHL02	44	"Erwan Kohler"	"19 (BreizhOpen2011) + 25 (VesoulOpen2011)"
222	2010VALO01	44	"Clément Valot"	"23 (CachanOpen2011) + 12 (DinsOpen2011) + 9 (NaonedOpen2011)"
222	2011PHIL01	43	"Alexandre Philiponet"	"25 (GaleriesLafayetteOpen2011) + 18 (VesoulOpen2011)"
222	2011PIHE01	38	"Raphaël Pihet"	"38 (GaleriesLafayetteOpen2011)"
222	2008ERBI01	37	"Guillaume Erbibou"	"4 (DolmenOpen2011) + 4 (BlindOpen2011) + 14 (BreizhOpen2011) + 3 (NaonedOpen2011) + 12 (GaleriesLafayetteOpen2011)"
222	2009WACH02	37	"Julien Wachter"	"19 (VesoulOpen2011) + 18 (LyonOpen2011)"
222	2011LEBA01	36	"Fabien Lebailly"	"12 (BlindOpen2011) + 1 (GaleriesLafayetteOpen2011) + 9 (DolmenOpen2011) + 7 (NaonedOpen2011) + 7 (DinsOpen2011)"
222	2004FONT01	35	"Benoît Fontaine"	"24 (GaleriesLafayetteOpen2011) + 11 (FrenchOpen2011)"
222	2009LEVY02	35	"Hugo Lévy"	"21 (MontpellierOpen2011) + 14 (NeptuneOpen2011)"
222	2009VERM01	34	"Olivier Vermersch"	"13 (CachanOpen2011) + 11 (GaleriesLafayetteOpen2011) + 10 (FrenchOpen2011)"
222	2004ROUX01	33	"Gilles Roux"	"18 (CachanOpen2011) + 15 (GaleriesLafayetteOpen2011)"
222	2004SECH01	31	"François Sechet"	"17 (GaleriesLafayetteOpen2011) + 14 (FrenchOpen2011)"
222	2009TISS01	31	"Lina Tissier"	"7 (MontpellierOpen2011) + 8 (BreizhOpen2011) + 8 (FrenchOpen2011) + 8 (GaleriesLafayetteOpen2011)"
222	2010DROU01	31	"Vincent Drouot"	"31 (GaleriesLafayetteOpen2011)"
222	2011LELE01	31	"Gaspard Leleux"	"15 (BlindOpen2011) + 16 (DolmenOpen2011)"
222	2005AKKE01	29	"Erik Akkersdijk"	"29 (CachanOpen2011)"
